experiment,val_rmse_0,val_rmse_1,val_rmse_2,val_rmse_3,val_rmse_4,val_rsq_0,val_rsq_1,val_rsq_2,val_rsq_3,val_rsq_4,val_mean_rmse,val_mean_rsq,val_var_rmse,val_var_rsq,submission_fname
"
Simple RF, but no one hot encoding,
n_estimators=100
",1.5161549333924051,1.7961251895715007,1.6276452004811142,1.821229771058252,1.835730022828974,0.13529228568417584,0.23919412761875836,0.2640768272241091,0.2976495196633596,0.2580728380832118,1.7193770234664492,0.23885711965472295,0.015903245779083884,0.0030375224386197342,rf_no_ohe.csv
"
Simple RF, but no one hot encoding,
n_estimators=30, sample of 
data for baseline only
",2.2478890640609084,2.025732711683942,1.8842538734726677,2.023715132503378,1.7856629081317335,-0.29178669131089996,-0.04907210509926796,0.09234691026508035,-0.04698344651904729,0.18484534683769926,1.993450737970526,-0.02212999716528712,0.024359331726445645,0.02600041183644445,no_submission
"RF, params: {'n_estimators': 40, 'min_samples_leaf': 3}, smpl: 100000",1.9240463833240664,1.8505986971812742,1.7859664870304168,1.834546034778155,1.7086704440131306,0.05360566542682965,0.12448102869186406,0.18456815590062103,0.1396041932712292,0.253623990895246,1.8207656092654088,0.151176606837158,0.005104627306665011,0.004395425061030632,no_submission
"RF, params: {'n_estimators': 40, 'min_samples_leaf': 5}, smpl: 100000",1.8732274786713443,1.805568377022566,1.766603579763086,1.7873285151199767,1.7112480992741261,0.10293875069226543,0.16657036959024973,0.20215363783114726,0.18332393929537427,0.25137036589016304,1.7887952099702198,0.18127141265983995,0.0027836642306661823,0.0023412540071884045,no_submission
"RF, params: {'n_estimators': 40, 'min_samples_leaf': 10}, smpl: 100000",1.7951093268422678,1.775466786216499,1.745965361585576,1.7464995927404054,1.7027591268931308,0.17619795883407674,0.1941278235283267,0.2206863129748331,0.2202093306072318,0.258779383269929,1.7531600388555755,0.21400016184287945,0.000978742118106629,0.0007824706895446082,no_submission
"RF, params: {'n_estimators': 40, 'min_samples_leaf': 25}, smpl: 100000",1.7841631081929699,1.755760536295898,1.7320417212524182,1.7196559039601749,1.7006081584210364,0.18621408834888342,0.21191760934700987,0.2330664176110081,0.24399587169647774,0.2606508578027278,1.7384458856244993,0.22716896896122138,0.0008431263798843191,0.0006697735305372996,no_submission
"RF, params: {'n_estimators': 40, 'min_samples_leaf': 25, 'max_features': 'sqrt'}, smpl: 100000",1.7881135877966978,1.7437867082867602,1.7385552049312074,1.725674063344936,1.7198488059690975,0.18260634220439886,0.22262998844826676,0.22728733950718538,0.23869514315444385,0.24382625300211513,1.7431956740657397,0.22300901326328199,0.0005783170682708312,0.0004660471410516874,no_submission
"RF, params: {'n_estimators': 40, 'min_samples_leaf': 25, 'max_features': 'log2'}, smpl: 100000",1.8012491961120725,1.7523657481949848,1.7485697302160432,1.7262823767320592,1.7251982422477432,0.17055296903544015,0.2149622002594599,0.21835965300144844,0.2381583169122229,0.2391149153222908,1.7507330587005803,0.21622961090617246,0.0007618177008199498,0.0006194208653960762,no_submission
"RF, params: {'n_estimators': 40, 'min_samples_leaf': 25, 'max_features': 0.5}, smpl: 100000",1.7884029939743973,1.7458705350249184,1.7265561070032025,1.7133196584283361,1.6921283735942019,0.18234173047132862,0.22077096256918105,0.23791669286863226,0.24955675481318906,0.2680057451361837,1.7332555336050113,0.23171837717170293,0.001066829074484995,0.0008462598068003583,no_submission
"RF, params: {'n_estimators': 40, 'min_samples_leaf': 10, 'max_features': 0.5}, smpl: 100000",1.784278875762128,1.7605851840493165,1.7448504356958148,1.7253500382605849,1.697357671538459,0.18610847796736696,0.2075805213332731,0.22168129214731136,0.23898101256200643,0.26347449231814657,1.7424844410612608,0.22356515926562087,0.0008820045372390627,0.0006984927953159531,no_submission
